I_D,FLAG_TSUNA,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPT,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS,DEATHS_DES,MISSING,MISSING_DE,INJURIES,INJURIES_D,DAMAGE_MIL,DAMAGE_DES,HOUSES_DES,HOUSES_D_1,HOUSES_DAM,HOUSES_D_2,TOTAL_DEAT,TOTAL_DE_1,TOTAL_MISS,TOTAL_MI_1,TOTAL_INJU,TOTAL_IN_1,TOTAL_DAMA,TOTAL_DA_1,TOTAL_HOUS,TOTAL_HO_1,TOTAL_HO_2,TOTAL_HO_3
2653,,1903,5,28,3,58,,,5.800000000000000,,,,,,5.800000000000000,8,TURKEY,,"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK",40.899999999999999,42.700000000000003,140,1000,3,,,,,,3,,,,,,,,,,,,,,,,
6238,Tsu,1903,7,16,,,,,,,,,,,,,MEXICO,,MEXICO:  ACAPULCO,16.699999999999999,-99.200000000000003,150,,,,,,,,,,,,,,,,,,,,,,,,
2657,,1903,7,28,4,,,,,,,,,,,12,ITALY,,ITALY:  N,44.299999999999997,10.000000000000000,130,,,,,,,,,,,,,,,,,,,,,,,,
2658,,1903,8,8,1,10,,,7.700000000000000,,,,,,7.700000000000000,,COLOMBIA,,COLOMBIA,4.600000000000000,-74.000000000000000,160,,,,,,,,,,,,,,,,,,,,,,,,
2660,,1903,8,11,4,32,54,100,7.800000000000000,,7.800000000000000,,,,,11,GREECE,,GREECE:  MITATA (KYTHERA),36.000000000000000,23.000000000000000,130,2,1,,,,,,3,,,,,2,1,,,,,,3,,,,
6554,Tsu,1903,9,7,,,,,,,,,,,,,TAIWAN,,TAIWAN,,,30,,,,,,,,,,,,,,,,,,,,,,,,
6540,Tsu,1903,9,26,,,,,,,,,,,,,CHILE,,CHILE:  IQUIQUE,-20.199999999999999,-70.150000000000006,160,,,,,,,,,,,,,,,,,,,,,,,,
6239,Tsu,1903,12,7,14,25,,,6.500000000000000,,6.500000000000000,,,,,8,CHILE,,"CHILE:  VALLENAR, FREIRINA",-28.500000000000000,-71.000000000000000,160,,1,,,,,,2,,2,,,,1,,,,,,2,,2,,
2665,,1903,12,28,2,56,,60,7.800000000000000,,7.800000000000000,,,,,8,PHILIPPINES,,PHILIPPINES:  DAVAO GULF,7.000000000000000,126.000000000000000,170,,,,,,,,2,,,,3,,,,,,,,2,,,,3
2666,Tsu,1904,1,20,14,52,6,60,7.900000000000000,,7.900000000000000,,,,,,COLOMBIA,,PANAMA-COLOMBIA,7.000000000000000,-79.000000000000000,160,,,,,,,,,,,,,,,,,,,,,,,,
2667,,1904,3,18,13,42,,40,7.600000000000000,,,,,,7.600000000000000,10,JAPAN,,JAPAN:  HOKKAIDO,42.500000000000000,145.800000000000011,30,,,,,,,,1,,,,,,,,,,,,,,,,
2670,,1904,4,4,10,3,,15,7.500000000000000,,7.500000000000000,,,,,10,BULGARIA,,BULGARIA:  STRUMA,41.799999999999997,23.199999999999999,110,,,,,,,,3,,,,,,,,,,,,3,,,,
2671,,1904,4,4,10,27,,15,7.800000000000000,,7.800000000000000,,,,,11,BULGARIA,,BULGARIA:  STRUMA,41.799999999999997,23.199999999999999,110,,,,,,,,3,,,,,,,,,,,,3,,,,
2676,,1904,6,7,8,17,,350,7.900000000000000,,,,,,7.900000000000000,,JAPAN,,JAPAN:  SEA OF JAPAN,40.000000000000000,134.000000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,
2678,Tsu,1904,6,25,14,45,36,30,8.300000000000001,,8.300000000000001,,,,7.700000000000000,10,RUSSIA,,RUSSIA:  OFF KAMCHATKA,52.000000000000000,159.000000000000000,50,,,,,,,,1,,,,,,,,,,,,1,,,,
2679,Tsu,1904,6,25,21,0,36,30,8.100000000000000,,8.100000000000000,,,,7.700000000000000,10,RUSSIA,,RUSSIA:  OFF KAMCHATKA,52.000000000000000,159.000000000000000,50,,,,,,,,1,,,,,,,,,,,,1,,,,
2682,,1904,6,27,0,9,,60,7.900000000000000,,7.900000000000000,,,,7.900000000000000,9,RUSSIA,,RUSSIA:  OFF KAMCHATKA,52.000000000000000,159.000000000000000,50,,,,,,,,,,,,,,,,,,,,,,,,
2683,Tsu,1904,8,8,22,51,,33,7.500000000000000,,,,,,7.500000000000000,,NEW ZEALAND,,NEW ZEALAND:  E OF NORTH ISLAND,-40.500000000000000,177.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
